SITE ID,IP-1,CSR IP,Du status,Vmwarestatus,VmwareIP,F1cip,Mplaneip,RemoveF1CIP,RemovemplaneIP,CSR VMWAREIP,VMWARE PINGABLE,StormControl,BV95,BV96,PORT2(BMC),PORT3/PORT18,PORT13(PTP),PORT14(K8S MGMT),PORT15(MIDHAUL)
CLCLT00192A,10.237.59.46,10.112.14.163,2/2 Running,Ready,10.113.37.222,10.113.103.18,10.112.231.66,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLCLT00314A,10.237.58.215,10.112.15.42,2/2 Running,Ready,10.113.9.243,10.113.96.12,10.112.224.12,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLCLT00315A,10.237.58.215,10.112.14.58,2/2 Running,Ready,10.113.9.243,10.113.96.12,10.112.224.12,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLCLT00370A,10.237.59.104,10.112.14.237,1/2 CrashLoopBackOff,Ready,10.113.48.206,10.113.105.226,10.112.234.50,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLCLT00372A,10.237.59.246,10.112.14.181,0/2 Pending,Ready,10.113.49.30,10.113.105.162,10.112.234.82,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLRDU00084A,10.237.58.80,10.140.196.125,1/2 Terminating,NotReady,10.141.98.30,Not Checked,Not Checked,No,No,10.141.98.2,PASS,storm-control unknown-unicast pps 5000,up,up,up,down//up,up,up,up
CLRDU00157A,10.237.57.238,10.140.196.158,2/2 Running,Ready,10.141.103.190,10.141.169.34,10.140.233.66,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLRDU00167A,10.237.58.80,10.140.196.166,0/2 Pending,NotReady,10.141.105.110,Not Checked,Not Checked,No,No,10.141.105.82,PASS,storm-control unknown-unicast pps 5000,up,up,up,down//up,up,up,up
CLRDU00169A,10.237.58.80,10.140.196.167,0/2 Pending,NotReady,10.141.105.158,Not Checked,Not Checked,No,No,IP Missing,IP Missing,% No such configuration item(s),down,down,up,down//up,up,up,up
CLRDU00173A,10.237.58.80,10.140.196.171,2/2 Running,Ready,10.141.106.46,10.141.169.242,10.140.234.34,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLRDU00297A,10.237.58.22,10.140.196.253,1/2 CrashLoopBackOff,Ready,10.141.120.206,10.141.174.130,10.140.239.50,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLRDU00368A,10.237.58.80,10.140.197.51,2/2 Running,Ready,10.141.225.29,10.141.176.210,10.140.242.130,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLRDU00486A,10.237.58.22,10.140.197.79,0/2 Pending,Ready,10.141.230.107,ip missing,ip missing,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLRDU00558A,10.237.58.22,10.140.197.29,2/2 Terminating,NotReady,10.141.125.190,Not Checked,Not Checked,No,No,IP Missing,IP Missing,storm-control unknown-unicast pps 5000,up,up,up,down//up,up,up,up
CLRDU00603A,10.237.57.144,10.140.197.136,0/2 Pending,NotReady,10.141.246.222,Not Checked,Not Checked,No,No,10.141.244.2,PASS,storm-control unknown-unicast pps 5000,up,up,up,down//down,up,up,up
CLRDU00627A,10.237.58.22,10.140.197.179,0/2 Pending,Ready,10.141.249.142,ip missing,ip missing,No,No,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked,Not Checked//Not Checked,Not Checked,Not Checked,Not Checked
CLRDU00699A,10.237.58.80,10.140.197.36,0/2 Pending,NotReady,10.141.126.254,Not Checked,Not Checked,No,No,CSR Not Reachable,Not Reachable,CSR Not Reachable,Not Reachable,Not Reachable,Not Reachable,Not Reachable//Not Reachable,Not Reachable,Not Reachable,Not Reachable
